jettime a/s denmark,1,0,0,0,0,0,0,0
southwest airlines c,9,31,2,7,13,1,10,0
aerosucre,1,0,0,0,0,0,0,0
africa airlines,6,27,4,3,9,2,2,0
lufthansa,0,1,0,0,0,0,0,0
united airlines inc,1,38,3,3,12,3,3,0
jetblue airways corp,3,4,2,0,0,2,0,0
aeroflot,0,0,0,0,1,0,0,0
,0,12,2,1,0,0,0,1
rutuca,0,1,0,0,0,0,0,0
envoy air,0,1,0,0,0,0,0,0
not provided,0,1,0,0,0,0,0,0
"pt garuda indonesia ",0,0,0,0,2,0,0,0
jetblue,1,1,0,0,0,0,0,0
gol linhas aereas s.,1,0,0,0,0,0,0,0
"allegiant air, llc",1,2,0,0,1,0,0,0
albastar airlines,0,1,0,0,0,0,0,0
delta air lines inc,3,26,4,4,5,9,5,0
fly jordan,0,1,0,0,0,0,0,0
royal air moroc,0,0,1,0,1,0,0,0
egypt air,0,0,0,0,1,0,0,0
conviasa,0,0,1,0,0,0,0,0
enter air,0,1,0,0,0,0,0,0
singapore airlines l,0,1,0,0,1,0,0,0
frontier airlines,1,3,0,0,1,0,0,0
klm royal dutch airl,0,1,0,0,0,0,0,0
ryanair,0,0,0,0,0,0,2,0
qatar airways,0,2,0,0,0,1,0,0
endeavor airlines,0,1,1,0,0,0,1,0
viva aerobus,0,0,1,0,0,0,0,0
hawaiian airlines in,0,2,0,1,3,0,0,0
mesa airlines,1,3,1,0,0,2,0,0
air canada,0,3,0,1,1,1,0,0
virgin australia air,0,0,1,0,0,0,0,0
"latam airlines perú ",0,0,1,0,0,0,0,0
us-bangla airlines l,0,0,0,0,1,0,0,0
turkish airlines a.o,0,0,0,0,1,0,0,0
air wisconsin airlin,0,1,0,0,1,0,2,0
japan transocean air,0,1,0,0,0,0,0,0
aerovías del contine,0,1,0,0,1,0,0,0
air astana,0,1,0,0,0,0,0,0
cibolo creek aviatio,0,0,0,0,1,0,0,0
thai vietjet air joi,0,0,0,0,0,1,0,0
air france,1,1,0,0,0,0,0,0
mirasol sky llc,0,0,0,0,0,1,0,0
sun country airlines,0,0,0,0,1,0,0,0
netjets aviation inc,0,1,0,1,0,0,0,0
spirit airlines,0,3,2,0,0,0,0,0
nicholas services ll,0,0,0,0,1,0,0,0
tui airlines belgium,0,1,0,0,0,0,0,0
piedmont airlines,1,0,0,1,0,0,0,0
sriwijaya air,0,1,0,0,0,0,0,0
american eagle,2,3,0,2,2,1,1,0
omni air internation,0,0,0,0,5,0,0,0
swift air llc,0,0,0,0,0,1,0,0
"swiss international ",0,3,0,0,0,0,0,0
mango airlines soc l,0,1,0,0,0,0,0,0
koreanair,0,1,0,0,0,0,0,0
air niugini,1,0,0,0,0,0,0,0
atlas air inc,1,0,0,0,2,0,0,0
compass airlines,0,3,0,0,0,0,0,0
swiftair,0,0,0,0,1,0,0,0
peruvian airlines sa,0,1,0,0,0,0,0,0
austral lineas aeras,0,0,0,1,0,0,0,0
horizon air industri,0,1,0,0,1,0,0,0
freight runners expr,0,0,0,0,0,0,1,0
skywest  airlines,0,1,0,0,0,0,2,0
commutair,0,1,0,0,0,0,0,0
eva air,0,1,0,0,0,0,1,0
"gojet airlines, llc.",1,2,0,0,0,0,0,0
eastern airlines gro,0,0,0,0,1,0,0,0
champlain enterprise,2,0,0,0,0,0,0,0
republic airways hol,0,1,0,0,0,0,0,0
flight options llc,0,0,0,0,1,0,0,0
trans states airline,0,0,0,0,3,0,0,0
shuttle america corp,0,2,0,0,0,0,0,0
dynamic internationa,0,0,0,1,0,0,0,0
british airways,0,1,0,1,0,0,0,0
us airways inc,1,3,1,0,3,1,0,0
expressjet airlines,2,0,0,1,2,0,0,0
unk,0,1,0,0,0,0,0,0
"chautauqua airlines ",1,1,0,0,0,0,1,0
vietnam airlines,0,0,1,0,0,0,0,0
na,0,1,0,0,0,0,0,0
continental airlines,0,3,1,1,1,0,1,0
airtran airways inc,0,3,0,0,0,0,0,0
orient thai airlines,0,0,0,0,1,0,0,0
korean air lines com,0,1,0,0,0,0,0,0
"psa airlines, inc.",0,1,0,0,0,0,0,0
air wisconsin,1,0,0,0,0,0,0,0
trans american airli,0,1,0,0,0,0,0,0
air transport intern,0,1,0,0,0,0,0,0
atlantic southeast a,0,0,0,0,2,0,0,0
transportadora amazo,0,0,0,0,0,1,0,0
express jet,0,0,0,0,1,0,0,0
"colgan air, inc.",0,1,0,0,0,0,0,0
japan airlines inter,0,1,0,0,0,0,0,0
"international lease ",0,0,0,0,0,1,0,0
skyway airlines inc,0,0,0,0,0,0,1,0
westjet,0,0,0,0,0,0,1,0
passaredotransportes,1,0,0,0,0,0,0,0
united,0,0,0,0,1,0,0,0
truschel michael a,0,0,0,0,1,0,0,0
republic airlines,0,3,0,0,0,0,0,0
ethiopian airlines,0,0,0,0,0,1,0,0
pinnacle airlines in,0,1,0,1,0,0,0,0
lot polish airline,0,1,0,0,0,0,0,0
tailwinds airlines,0,0,0,0,1,0,0,0
world airways,0,0,0,0,1,0,0,0
finnish commuter air,0,0,0,1,0,0,0,0
"ameristar air cargo,",0,0,0,1,0,0,0,0